System_Name,source_id_1,ra_1,dec_1,pmra_1,pmra_error_1,pmdec_1,pmdec_error_1,parallax_1,parallax_error_1,phot_g_mean_mag_1,phot_g_mean_flux_1,phot_g_mean_flux_error_1,phot_bp_mean_mag_1,phot_bp_mean_flux_1,phot_bp_mean_flux_error_1,phot_rp_mean_mag_1,phot_rp_mean_flux_1,phot_rp_mean_flux_error_1,u_sdss_1,g_sdss_1,r_sdss_1,i_sdss_1,z_sdss_1,e_u_sdss_1,e_g_sdss_1,e_r_sdss_1,e_i_sdss_1,e_z_sdss_1,u_smap_1,v_smap_1,g_smap_1,r_smap_1,i_smap_1,z_smap_1,e_u_smap_1,e_v_smap_1,e_g_smap_1,e_r_smap_1,e_i_smap_1,e_z_smap_1,g_pstarr_1,r_pstarr_1,i_pstarr_1,z_pstarr_1,y_pstarr_1,e_g_pstarr_1,e_r_pstarr_1,e_i_pstarr_1,e_z_pstarr_1,e_y_pstarr_1,j_tmass_1,h_tmass_1,ks_tmass_1,e_j_tmass_1,e_h_tmass_1,e_ks_tmass_1,LoggH_1,e_LoggH_upper_1,e_LoggH_lower_1,TeffH_1,e_TeffH_upper_1,e_TeffH_lower_1,MassH_1,e_MassH_upper_1,e_MassH_lower_1,cool_ageH_1,e_cool_ageH_upper_1,e_cool_ageH_lower_1,init_mass_1,e_init_mass_upper_1,e_init_mass_lower_1,tot_age_1,e_tot_age_upper_1,e_tot_age_lower_1,sp_type_1,sp_type_source_1,source_id_2,ra_2,dec_2,pmra_2,pmra_error_2,pmdec_2,pmdec_error_2,parallax_2,parallax_error_2,phot_g_mean_mag_2,phot_g_mean_flux_2,phot_g_mean_flux_error_2,phot_bp_mean_mag_2,phot_bp_mean_flux_2,phot_bp_mean_flux_error_2,phot_rp_mean_mag_2,phot_rp_mean_flux_2,phot_rp_mean_flux_error_2,u_sdss_2,g_sdss_2,r_sdss_2,i_sdss_2,z_sdss_2,e_u_sdss_2,e_g_sdss_2,e_r_sdss_2,e_i_sdss_2,e_z_sdss_2,u_smap_2,v_smap_2,g_smap_2,r_smap_2,i_smap_2,z_smap_2,e_u_smap_2,e_v_smap_2,e_g_smap_2,e_r_smap_2,e_i_smap_2,e_z_smap_2,g_pstarr_2,r_pstarr_2,i_pstarr_2,z_pstarr_2,y_pstarr_2,e_g_pstarr_2,e_r_pstarr_2,e_i_pstarr_2,e_z_pstarr_2,e_y_pstarr_2,j_tmass_2,h_tmass_2,ks_tmass_2,e_j_tmass_2,e_h_tmass_2,e_ks_tmass_2,LoggH_2,e_LoggH_upper_2,e_LoggH_lower_2,TeffH_2,e_TeffH_upper_2,e_TeffH_lower_2,MassH_2,e_MassH_upper_2,e_MassH_lower_2,cool_ageH_2,e_cool_ageH_upper_2,e_cool_ageH_lower_2,init_mass_2,e_init_mass_upper_2,e_init_mass_lower_2,tot_age_2,e_tot_age_upper_2,e_tot_age_lower_2,sp_type_2,sp_type_source_2,sep_AU,wtd_par,e_wtd_par,R_chance_align
WDWD Gaia EDR3 5886778250054825344,5886777494107570176,231.0955005,-55.5590263,-32.507,0.203,-59.794,0.235,8.954,0.220,18.7619,589.10,1.05,18.9251,367.59,10.00,18.5440,303.08,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.467,0.102,0.103,8357,412,463,0.895,0.068,0.067,2.4503,0.1961,0.1042,4.098,1.008,0.496,2.6413,0.2114,0.1325,,,5886778250054825344,231.0942738,-55.5593663,-32.170,0.178,-60.729,0.206,9.568,0.192,18.5559,712.15,1.23,18.7104,447.99,7.87,18.2897,383.07,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.240,0.087,0.088,8013,297,333,0.745,0.057,0.058,1.6128,0.0735,0.1086,3.211,0.289,0.379,1.9882,0.1817,0.1359,,,298.9913421,9.302,0.145,2.7680750135009277e-05
WDWD Gaia EDR3 5887131433805301888,5887131433805301888,229.6014729,-54.3340133,-150.368,0.466,-50.043,0.443,8.616,0.456,19.8536,215.53,0.83,20.0258,133.38,10.83,19.6302,111.45,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.938,0.216,0.211,8330,1008,1239,1.167,0.114,0.087,3.6382,0.7976,0.7203,7.331,1.130,0.863,3.6860,0.7978,0.7204,,,5887131433805966720,229.5977168,-54.3325111,-151.330,0.557,-50.254,0.656,8.260,0.574,20.0066,187.20,0.98,20.3801,96.25,8.51,19.7880,96.37,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.810,0.202,0.204,7224,740,963,1.102,0.120,0.099,4.5359,0.8556,0.5946,6.689,1.192,1.114,4.5942,0.8561,0.5948,,,1127.6829795,8.478,0.357,5.2859529215814574e-11
WDWD Gaia EDR3 5889323031036907904,5889323031036907904,232.5508463,-51.7015361,-21.303,0.245,-39.902,0.196,5.704,0.242,18.7373,602.59,1.61,18.8155,406.64,6.15,18.4374,334.35,8.40,,,,,,,,,,,,,,,18.9633,,,,,,0.0560,,,,,,,,,,,,,,,,,,7.842,0.182,0.178,8976,628,701,0.508,0.092,0.103,0.6858,0.0235,0.0275,0.353,0.844,0.892,98.2559,nan,91.4666,,,5889323035395632256,232.5493124,-51.7029635,-21.333,0.371,-39.862,0.330,5.122,0.343,19.5218,292.57,0.92,19.7256,175.87,3.77,19.0773,185.45,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.639,0.230,0.231,6723,461,548,0.400,0.095,0.118,1.1143,0.0733,0.0876,-0.587,0.826,1.022,nan,nan,nan,,,1120.3866106,5.511,0.198,0.0022282082984103314
WDWD Gaia EDR3 5894512077372352896,5894512077400464384,219.5216705,-54.1304056,-56.343,1.019,-13.864,1.535,6.903,0.981,20.4660,122.62,0.79,20.7226,70.21,6.44,20.2299,64.15,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.774,0.276,0.279,8055,1105,1532,1.083,0.170,0.134,3.6832,0.7991,0.4027,6.499,1.689,1.636,3.7453,0.8014,0.4034,,,5894512077372352896,219.5230984,-54.1289286,-55.890,0.305,-12.002,0.320,5.776,0.321,19.4395,315.62,0.81,19.4830,219.90,5.11,18.7413,252.71,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.425,0.258,0.300,6450,466,657,0.312,0.084,0.130,0.9878,0.0990,0.0864,-1.352,0.730,1.128,nan,nan,nan,,,1038.3231068,5.885,0.305,7.950640578927827e-06
WDWD Gaia EDR3 5906772078699040256,5906772078699040256,224.0377702,-46.9946545,-40.558,0.412,-37.158,0.291,4.452,0.277,18.9892,477.80,1.33,19.0830,317.83,8.62,18.9378,210.88,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.174,0.290,0.231,11206,1524,2372,0.709,0.176,0.154,0.5820,0.0661,0.0352,3.004,0.963,2.242,1.0366,28.6919,0.2491,,,5906771872540595840,224.0399111,-46.9975644,-40.919,0.535,-37.851,0.359,4.210,0.361,19.3563,340.74,1.33,19.6067,196.22,8.49,19.2769,154.31,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.025,0.331,0.321,9097,1111,1482,0.612,0.182,0.207,0.8311,0.0620,0.0755,1.388,2.073,1.933,4.5590,nan,3.4258,,,2686.9752957,4.362,0.220,0.0004008838978874351
WDWD Gaia EDR3 5912755582322513664,5912755582322513664,263.7484966,-59.6184273,-7.713,0.260,-33.004,0.250,2.791,0.298,19.5418,287.23,0.69,19.5898,199.29,4.77,19.6989,104.61,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.528,0.389,0.425,18656,5727,9981,0.949,0.256,0.236,0.2645,0.0945,0.1255,4.860,2.846,1.833,0.3876,0.3361,0.1489,,,5912755586632778752,263.7501440,-59.6178210,-8.294,0.413,-32.257,0.400,2.822,0.439,19.9715,193.34,0.61,20.0354,132.20,6.03,19.8948,87.34,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.304,0.508,0.403,12081,2847,5995,0.795,0.310,0.259,0.5636,0.1685,0.0731,3.468,3.249,2.874,0.8648,64.4454,0.2542,,,1324.4237375,2.801,0.246,0.0005496608986006907
WDWD Gaia EDR3 5916023915002608384,5916025255032617344,257.9497940,-57.8434090,-48.748,0.206,-5.375,0.179,7.551,0.273,19.2466,376.96,0.75,19.4959,217.31,4.39,18.9829,202.31,4.23,,,,,,,,,,,,,19.4379,19.2996,,,,,0.0117,0.0241,,,,,,,,,,,,,,,,,,,8.272,0.083,0.085,7268,256,274,0.765,0.055,0.057,2.4002,0.2448,0.2441,3.313,0.256,0.319,2.7442,0.2706,0.2529,,,5916023915002608384,257.9732703,-57.9003561,-49.111,0.143,-4.824,0.120,7.910,0.170,18.5728,701.16,0.93,18.8668,387.87,5.95,18.1229,446.67,5.00,,,,,,,,,,,,,18.7971,18.6226,18.5028,,,,0.0085,0.0106,0.0106,,,,,,,,,,,,,,,,,,7.274,0.086,0.088,6172,150,174,0.261,0.027,0.029,0.9368,0.0383,0.0308,-1.800,0.232,0.254,nan,nan,nan,,,26873.4359505,7.810,0.144,0.13825603239932877
WDWD Gaia EDR3 5916165790663835776,5916165790663835776,259.9201169,-57.8540425,-12.324,0.493,-17.615,0.443,6.049,0.580,20.3375,138.02,0.62,20.1752,116.24,8.46,19.4831,127.61,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.086,0.438,0.409,6118,745,1135,0.641,0.246,0.271,2.6199,0.6521,1.0100,2.229,1.756,3.075,3.6930,nan,1.3316,,,5916165786358837760,259.9194584,-57.8538477,-12.993,0.518,-20.382,0.483,6.314,0.581,20.3450,137.07,0.65,20.5585,81.66,9.36,19.6265,111.83,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.850,0.451,0.432,5525,581,847,0.499,0.212,0.270,2.3645,0.3589,1.3289,0.268,2.745,2.349,597.4866,nan,594.6724,,,233.5017361,6.181,0.410,1.7258968247147024e-05
WDWD Gaia EDR3 5918832106349269376,5918832037631233280,266.9398817,-56.2803937,-11.990,0.662,-35.699,0.599,8.229,0.709,20.1009,171.63,0.93,20.1048,124.02,13.13,19.2779,154.16,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.099,0.435,0.387,5469,615,800,0.646,0.249,0.258,4.2937,1.1752,0.7353,2.306,1.795,3.006,5.2702,nan,1.0761,,,5918832106349269376,266.9342413,-56.2806217,-8.679,0.455,-34.652,0.407,8.353,0.406,19.9601,195.39,0.78,20.6161,77.44,6.31,19.3246,147.68,5.53,,,,,,,,,,,,,,20.0094,,,,,,0.0377,,,,,,,,,,,,,,,,,,,7.413,0.227,0.265,4610,218,273,0.288,0.075,0.115,2.7684,0.3914,0.4098,-1.564,0.653,0.998,nan,nan,nan,,,1357.9808780,8.323,0.353,0.02621041950167092
WDWD Gaia EDR3 5923451360893955072,5923451395234927360,256.9497448,-55.0620403,-29.189,0.544,-50.442,0.442,4.575,0.462,19.9477,197.64,0.75,20.0985,124.75,3.91,19.9591,82.32,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.907,0.134,0.126,11004,943,1197,1.154,0.070,0.056,2.2435,0.2756,0.1672,7.206,0.698,0.560,2.2931,0.2758,0.1675,,,5923451360893955072,256.9450183,-55.0658204,-29.803,0.103,-50.599,0.087,5.153,0.100,17.6199,1686.43,1.54,17.6037,1241.50,6.63,17.6981,660.56,5.30,,,,,,,,,,,,,17.5387,17.6559,,,,,0.0233,0.0197,,,,,,,,,,,,,,,,,,,7.820,0.116,0.122,14684,1206,1476,0.514,0.059,0.068,0.1590,0.0185,0.0188,0.400,0.515,0.589,156.9745,nan,141.2123,,,3264.7015829,5.127,0.098,0.00015030405367195612
